"instance_id","county","total_positive_cases","no_recovered","total_cases_recovered"
32,"Lyman","2","1",NA
32,"Marshall","1","1",NA
32,"McCook","2","1",NA
32,"Meade","1","1",NA
32,"Miner","1","0",NA
32,"Minnehaha","352","56",NA
32,"Oglala Lakota","1","0",NA
32,"Pennington","8","5",NA
32,"Roberts","4","3",NA
32,"Spink","3","2",NA
32,"Todd","1","1",NA
32,"Turner","5","1",NA
32,"Union","3","2",NA
32,"Yankton","19","12",NA
33,"Aurora","1","1",NA
33,"Beadle","21","19",NA
33,"Bon Homme","3","2",NA
33,"Brookings","6","6",NA
33,"Brown","14","10",NA
33,"Charles Mix","3","1",NA
33,"Clark","1","1",NA
33,"Clay","6","3",NA
33,"Codington","12","11",NA
33,"Corson","1","0",NA
33,"Davison","3","3",NA
33,"Deuel","1","1",NA
33,"Fall River","1","1",NA
33,"Faulk","1","1",NA
33,"Hamlin","1","1",NA
33,"Hughes","4","3",NA
33,"Hutchinson","2","2",NA
33,"Jerauld","3","0",NA
33,"Lake","2","1",NA
33,"Lawrence","9","8",NA
33,"Lincoln","39","17",NA
33,"Lyman","2","2",NA
33,"Marshall","1","1",NA
33,"McCook","2","1",NA
33,"Meade","1","1",NA
33,"Miner","1","0",NA
33,"Minnehaha","438","66",NA
33,"Oglala Lakota","1","0",NA
33,"Pennington","8","5",NA
33,"Roberts","4","3",NA
33,"Sanborn","1","0",NA
33,"Spink","3","2",NA
33,"Todd","1","1",NA
33,"Turner","5","1",NA
33,"Union","4","2",NA
33,"Yankton","20","12",NA
34,"Aurora","1","1",NA
34,"Beadle","21","19",NA
34,"Bon Homme","4","3",NA
34,"Brookings","8","6",NA
34,"Brown","14","10",NA
34,"Brule","1","0",NA
34,"Charles Mix","4","1",NA
34,"Clark","1","1",NA
34,"Clay","6","4",NA
34,"Codington","12","11",NA
34,"Corson","1","0",NA
34,"Davison","3","3",NA
34,"Deuel","1","1",NA
34,"Fall River","1","1",NA
34,"Faulk","1","1",NA
34,"Hamlin","1","1",NA
34,"Hughes","5","3",NA
34,"Hutchinson","2","2",NA
34,"Jerauld","3","0",NA
34,"Lake","2","1",NA
34,"Lawrence","9","9",NA
34,"Lincoln","46","19",NA
34,"Lyman","2","2",NA
34,"Marshall","1","1",NA
34,"McCook","2","1",NA
34,"Meade","1","1",NA
34,"Miner","1","0",NA
34,"Minnehaha","527","69",NA
34,"Oglala Lakota","1","0",NA
34,"Pennington","8","5",NA
34,"Roberts","4","3",NA
34,"Sanborn","1","0",NA
34,"Spink","3","2",NA
34,"Sully","1","0",NA
34,"Todd","1","1",NA
34,"Turner","5","1",NA
34,"Union","4","2",NA
34,"Walworth","1","0",NA
34,"Yankton","20","12",NA
35,"Aurora","1","1",NA
35,"Beadle","21","19",NA
35,"Bon Homme","4","3",NA
35,"Brookings","9","6",NA
35,"Brown","14","10",NA
35,"Brule","1","0",NA
35,"Charles Mix","4","1",NA
35,"Clark","1","1",NA
35,"Clay","5","4",NA
35,"Codington","12","11",NA
35,"Corson","1","0",NA
35,"Davison","3","3",NA
35,"Deuel","1","1",NA
35,"Fall River","1","1",NA
35,"Faulk","1","1",NA
35,"Hamlin","1","1",NA
35,"Hughes","5","3",NA
35,"Hutchinson","2","2",NA
35,"Hyde","1","0",NA
35,"Jerauld","3","0",NA
35,"Lake","2","1",NA
35,"Lawrence","9","9",NA
35,"Lincoln","50","21",NA
35,"Lyman","2","2",NA
35,"Marshall","1","1",NA
35,"McCook","2","1",NA
35,"Meade","1","1",NA
35,"Miner","1","0",NA
35,"Minnehaha","654","76",NA
35,"Oglala Lakota","1","0",NA
35,"Pennington","9","5",NA
35,"Roberts","4","3",NA
35,"Sanborn","2","0",NA
35,"Spink","3","2",NA
35,"Sully","1","0",NA
35,"Todd","1","1",NA
35,"Turner","5","1",NA
35,"Union","5","2",NA
35,"Walworth","2","0",NA
35,"Yankton","22","13",NA
36,"Aurora","1","1",NA
36,"Beadle","21","19",NA
36,"Bon Homme","4","3",NA
36,"Brookings","9","6",NA
36,"Brown","14","10",NA
36,"Brule","1","0",NA
36,"Charles Mix","4","1",NA
36,"Clark","1","1",NA
36,"Clay","5","4",NA
36,"Codington","13","11",NA
36,"Corson","1","0",NA
36,"Davison","3","3",NA
36,"Deuel","1","1",NA
36,"Fall River","1","1",NA
36,"Faulk","1","1",NA
36,"Hamlin","1","1",NA
36,"Hughes","5","3",NA
36,"Hutchinson","2","2",NA
36,"Hyde","1","0",NA
36,"Jerauld","3","0",NA
36,"Lake","2","1",NA
36,"Lawrence","9","9",NA
36,"Lincoln","55","27",NA
36,"Lyman","2","2",NA
36,"Marshall","1","1",NA
36,"McCook","2","1",NA
36,"Meade","1","1",NA
36,"Miner","1","0",NA
36,"Minnehaha","768","120",NA
36,"Oglala Lakota","1","0",NA
36,"Pennington","9","5",NA
36,"Roberts","4","3",NA
36,"Sanborn","2","0",NA
36,"Spink","3","2",NA
36,"Sully","1","0",NA
36,"Todd","1","1",NA
36,"Turner","5","1",NA
36,"Union","5","3",NA
36,"Walworth","2","0",NA
36,"Yankton","22","16",NA
37,"Aurora","1","1",NA
37,"Beadle","21","19",NA
37,"Bon Homme","4","3",NA
37,"Brookings","9","6",NA
37,"Brown","15","10",NA
37,"Charles Mix","4","2",NA
37,"Clark","1","1",NA
37,"Clay","5","4",NA
37,"Codington","13","11",NA
37,"Corson","1","1",NA
37,"Davison","3","3",NA
37,"Deuel","1","1",NA
37,"Fall River","1","1",NA
37,"Faulk","1","1",NA
37,"Hamlin","1","1",NA
37,"Hughes","5","4",NA
37,"Hutchinson","2","2",NA
37,"Hyde","1","0",NA
37,"Jerauld","3","2",NA
37,"Lake","2","1",NA
37,"Lawrence","9","9",NA
37,"Lincoln","65","28",NA
37,"Lyman","2","2",NA
37,"Marshall","1","1",NA
37,"McCook","3","1",NA
37,"Meade","1","1",NA
37,"Miner","1","0",NA
37,"Minnehaha","934","179",NA
37,"Oglala Lakota","1","1",NA
37,"Pennington","9","6",NA
37,"Roberts","4","3",NA
37,"Sanborn","3","0",NA
37,"Spink","3","2",NA
37,"Sully","1","0",NA
37,"Todd","1","1",NA
37,"Turner","5","1",NA
37,"Union","4","3",NA
37,"Walworth","5","0",NA
37,"Yankton","22","17",NA
38,"Aurora","1","1",NA
38,"Beadle","21","19",NA
38,"Bon Homme","4","3",NA
38,"Brookings","9","6",NA
38,"Brown","15","10",NA
38,"Charles Mix","4","2",NA
38,"Clark","1","1",NA
38,"Clay","5","4",NA
38,"Codington","13","11",NA
38,"Corson","1","1",NA
38,"Davison","3","3",NA
38,"Deuel","1","1",NA
38,"Fall River","1","1",NA
38,"Faulk","1","1",NA
38,"Hamlin","2","1",NA
38,"Hughes","5","4",NA
38,"Hutchinson","2","2",NA
38,"Hyde","1","0",NA
38,"Jerauld","4","2",NA
38,"Lake","3","1",NA
38,"Lawrence","9","9",NA
38,"Lincoln","71","30",NA
38,"Lyman","2","2",NA
38,"Marshall","1","1",NA
38,"McCook","3","1",NA
38,"Meade","1","1",NA
38,"Miner","1","0",NA
38,"Minnehaha","1065","220",NA
38,"Moody","1","0",NA
38,"Oglala Lakota","1","1",NA
38,"Pennington","10","6",NA
38,"Roberts","4","3",NA
38,"Sanborn","3","0",NA
38,"Spink","3","2",NA
38,"Sully","1","0",NA
38,"Todd","1","1",NA
38,"Turner","5","2",NA
38,"Union","4","3",NA
38,"Walworth","5","0",NA
38,"Yankton","23","17",NA
40,"Aurora","1","33","1"
40,"Beadle","21","161","19"
40,"Bennett","0","10","0"
40,"Bon Homme","4","88","3"
40,"Brookings","9","271","9"
40,"Brown","20","401","11"
40,"Brule","0","36","0"
40,"Buffalo","0","7","0"
40,"Butte","0","13","0"
40,"Campbell","0","7","0"
